Price (M),Brand,Model,Year,Mileage (km),Fuel type,Engine capacity (CC),Transmission
9.85,Toyota,Axio,2015,231000,Hybrid,1500,Automatic
3.65,Nissan,Sunny,1998,140000,Petrol,650,Automatic
153,Land Rover,Range Rover,2025,0,Hybrid,3000,Automatic
10.7,Toyota,Raize,2020,75000,Petrol,1000,Automatic
16.8,Toyota,Yaris Ativ,2025,0,Petrol,1200,Automatic
3.075,Nissan,Serena,1995,131999,Diesel,2000,Automatic
11.2,Toyota,Premio,2013,118000,Petrol,1500,Automatic
45,Toyota,RAV4,2026,0,Hybrid,2500,Automatic
11.6,Toyota,Corolla,2017,27000,Petrol,1300,Automatic
105,Toyota,Land Cruiser Sahara,2023,95,Diesel,3340,Automatic
45,Toyota,RAV4,2026,0,Hybrid,2500,Automatic
65,Mercedes Benz,S300,2017,49800,Hybrid,2140,Automatic
76,Toyota,Land Cruiser Sahara,2015,105000,Diesel,4461,Automatic
12.85,Mitsubishi,Montero,2011,147700,Diesel,2500,Automatic
72.5,Land Rover,Defender,2024,7000,Petrol,2000,Automatic
54.5,Land Rover,Range Rover,2018,31000,Diesel,2000,Automatic
34.5,Mercedes Benz,C200,2025,2000,Hybrid,1500,Automatic
14.39,Toyota,Raize,2025,0,Hybrid,1200,Automatic
54.5,Toyota,Land Cruiser Sahara,2015,138000,Petrol,4600,Automatic
20.39,Honda,Vezel,2025,0,Hybrid,1500,Automatic
5.5,Hyundai,Grand i10,2016,95500,Petrol,998,Tiptronic
3.075,Hyundai,Matrix,2000,168456,Petrol,1350,Automatic
17.45,Toyota,Urban Cruiser,2026,0,Hybrid,1490,Automatic
14.25,Toyota,Raize,2025,0,Hybrid,1200,Automatic
7.75,Toyota,RAV4,2008,145000,Petrol,2000,Automatic
14,Toyota,Raize,2025,0,Hybrid,1200,Automatic
18.75,Honda,Vezel,2025,0,Hybrid,1500,Automatic
31.9,Land Rover,Discovery,2015,102000,Diesel,3000,Tiptronic
8.3,Toyota,Aqua,2013,48000,Petrol,1500,Automatic
18.3,Toyota,Yaris Ativ,2025,0,Hybrid,1500,Automatic
51.85,Toyota,Land Cruiser Prado,2023,19000,Petrol,2700,Tiptronic
32.9,Ford,Raptor Ranger,2025,0,Diesel,2000,Tiptronic
4.9,Suzuki,Swift,2005,115000,Petrol,1300,Automatic
15.8,Audi,A3,2023,35000,Petrol,1000,Automatic
16,Honda,Vezel,2024,10000,Hybrid,1500,Automatic
16,Honda,Vezel,2024,29000,Hybrid,1500,Automatic
8.35,Toyota,Axio,2015,91000,Hybrid,1500,Automatic
12.265,Kia,Other Model,2025,0,Petrol,1000,Tiptronic
11.5,Kia,Other Model,2026,0,Petrol,1000,Automatic
12.5,Ford,Focus,2018,93000,Petrol,1000,Tiptronic
18.95,Toyota,Esquire,2015,104000,Hybrid,1800,Automatic
3.5,Suzuki,Wagon R,2006,62520,Petrol,1061,Manual
17.8,Honda,Vezel,2025,1000,Petrol,1500,Automatic
17.95,Honda,Vezel,2026,0,Hybrid,1500,Tiptronic
43.5,BMW,740Le,2018,27000,Petrol,2000,Automatic
18.5,Toyota,Yaris Ativ,2025,0,Hybrid,1500,Automatic
2.75,Hyundai,Elantra,1999,60200,Petrol,1599,Automatic
1.175,Mitsubishi,Lancer,1979,40000,Petrol,1400,Manual
2.475,Suzuki,Maruti,2007,70000,Petrol,800,Manual
12.6,Honda,Civic,2018,79000,Petrol,1000,Automatic
6.2,Suzuki,Swift,2010,75000,Petrol,1300,Automatic
25.8,Toyota,Hilux,2025,0,Diesel,2800,Tiptronic
13.7,Honda,City,2025,0,Petrol,1000,Tiptronic
33,Mercedes Benz,C200,2024,4000,Hybrid,1500,Automatic
6.29,Daihatsu,Mira,2023,20000,Petrol,660,Automatic
7.45,Toyota,Rush,2010,156000,Petrol,1500,Automatic
7.2,Hyundai,Tucson,2012,130000,Petrol,2000,Automatic
8.55,Hyundai,Grand i10,2025,400,Petrol,1200,Tiptronic
9.1,Suzuki,Wagon R ZX,2026,5,Hybrid,660,Automatic
12.85,Toyota,Raize,2023,9000,Petrol,1200,Automatic
2.965,Suzuki,Alto,2013,94000,Petrol,800,Manual
13.8,Toyota,Premio,2017,108000,Petrol,1500,Automatic
6.7,Toyota,Pixis,2024,6000,Petrol,660,Automatic
19.45,Honda,Vezel,2025,230,Petrol,1490,Automatic
2.635,Maruti Suzuki,800,2011,173000,Petrol,800,Manual
15.565,Toyota,Yaris Cross,2023,14200,Hybrid,1500,Automatic
8.25,Suzuki,Wagon R FX,2025,5,Hybrid,660,Automatic
8.775,Honda,Fit,2017,69600,Hybrid,1500,Automatic
10.799999,Toyota,Premio,2013,121000,Petrol,1500,Automatic
10.2,Audi,A4,2011,94188,Petrol,1800,Automatic
3.375,Honda,City,2000,200000,Petrol,1500,Automatic
21.35,Toyota,Land Cruiser Sahara,2003,74500,Diesel,4200,Manual
21.5,Toyota,Hilux,2025,33,Diesel,2800,Automatic
9.875,Toyota,Premio,2011,150000,Petrol,1500,Automatic
8.75,Toyota,Yaris,2023,51452,Petrol,990,Automatic
28.5,Toyota,Hilux,2026,0,Diesel,2755,Automatic
20.7,BMW,318i,2018,115000,Petrol,1500,Automatic
7.15,Toyota,Aqua,2014,180000,Hybrid,1500,Automatic
22,Mercedes Benz,C350,2016,75000,Hybrid,2000,Tiptronic
6.45,Toyota,Corolla,2006,137250,Petrol,1500,Automatic
30,Mercedes Benz,E180,2019,27000,Petrol,1497,Tiptronic
8.45,Suzuki,Spacia,2023,20000,Hybrid,660,Automatic
34.5,BMW,i8,2018,30000,Hybrid,1500,Automatic
3.99,Suzuki,Alto,2015,59774,Petrol,800,Manual
16.2,Toyota,Yaris Ativ,2025,0,Petrol,1200,Tiptronic
8.25,Toyota,Vitz,2019,95000,Petrol,1000,Automatic
10.7,Honda,Vezel,2015,45000,Hybrid,1500,Automatic
19.8,Mercedes Benz,S350,2011,166000,Petrol,3500,Tiptronic
7.3,Toyota,Axio,2007,183000,Petrol,1500,Automatic
5.975,Suzuki,Hustler,2016,86500,Hybrid,660,Automatic
12.7,Audi,A3,2019,117000,Petrol,1000,Automatic
8.4,Toyota,Vitz,2018,61000,Petrol,990,Automatic
54.9,Toyota,Land Cruiser Prado,2024,8700,Petrol,2700,Automatic
1.765,Suzuki,Maruti,2004,225000,Petrol,796,Manual
16.85,BMW,318i,2017,21000,Petrol,1500,Automatic
8.2,Honda,Fit,2015,90000,Petrol,1500,Automatic
11.475,Toyota,Premio,2014,116000,Petrol,1500,Automatic
14.975,Toyota,Yaris Cross,2023,13850,Hybrid,1500,Automatic
1.95,Honda,Civic,1989,180000,Petrol,1500,Manual
52.5,Toyota,Land Cruiser Prado,2023,9000,Petrol,2700,Automatic
59.5,Toyota,Alphard,2024,0,Petrol,2500,Automatic
36.5,BMW,740e,2017,35000,Petrol,2000,Automatic
19.5,Audi,A5,2018,69000,Petrol,1400,Automatic
6.675,Daihatsu,Mira,2025,0,Petrol,660,Automatic
15.5,BAIC,X55 II,2025,0,Petrol,1500,Tiptronic
6.45,Mahindra,KUV 100,2024,48000,Diesel,1200,Automatic
15.6,Mercedes Benz,E200,2010,55000,Petrol,1990,Automatic
26.5,BMW,218i,2024,5000,Petrol,1500,Automatic
19.8,Honda,Vezel,2025,0,Hybrid,1500,Automatic
8.475,Toyota,Roomy,2022,53000,Petrol,1000,Automatic
7.25,Suzuki,Wagon R,2023,11000,Petrol,660,Automatic
8.9,Toyota,Allion,2008,166000,Petrol,1500,Automatic
15.4,Volkswagen,T-Cross,2024,7900,Petrol,1000,Automatic
13.8,Mitsubishi,Outlander,2016,154000,Petrol,2400,Tiptronic
18.4,Honda,Vezel,2024,9500,Hybrid,1500,Automatic
9.995,Toyota,Yaris,2024,6000,Petrol,1000,Automatic
12.95,Toyota,Raize,2025,4800,Hybrid,1200,Automatic
13.9,Volkswagen,Polo,2024,14000,Petrol,1000,Automatic
8.75,Suzuki,Swift,2018,66000,Petrol,1000,Automatic
13.75,Toyota,Premio,2016,95000,Petrol,1500,Automatic
16.9,BMW,523i,2010,100000,Petrol,2500,Automatic
5.95,Nissan,Navara,2007,260000,Diesel,2500,Manual
7.225,Toyota,Aqua,2014,103000,Hybrid,1500,Automatic
15.5,Peugeot,5008,2018,68500,Petrol,1200,Automatic
28.8,Toyota,Land Cruiser Prado,2011,188000,Diesel,3000,Automatic
6.99,Daihatsu,Mira,2024,19000,Petrol,660,Automatic
13.2,Toyota,Yaris,2023,28880,Hybrid,1500,Automatic
16.975,Mitsubishi,Outlander,2016,98000,Hybrid,2000,Automatic
19.95,Honda,Vezel,2025,0,Hybrid,1500,Automatic
19.45,Honda,Vezel,2026,10,Hybrid,1500,Automatic
10.99,Suzuki,Fronx,2025,0,Hybrid,1000,Automatic
24.5,BMW,335i,2014,110000,Petrol,3000,Automatic
9.25,MG,ZS,2019,48000,Petrol,1000,Automatic
6.39,Daihatsu,Mira,2023,4000,Petrol,660,Automatic
29,Toyota,Hilux,2025,0,Diesel,2800,Tiptronic
19.25,Honda,Vezel,2024,5000,Hybrid,1500,Automatic
6.7,Toyota,Aqua,2012,160000,Hybrid,1500,Automatic
13.195,Toyota,Axio,2017,109000,Hybrid,1500,Automatic
13.7,Toyota,Raize,2025,12,Petrol,1,Automatic
37.9,Mercedes Benz,C200,2023,26000,Petrol,1500,Automatic
3.45,Micro,Panda,2017,34600,Petrol,1000,Manual
36.5,Mercedes Benz,GLB,2025,97,Petrol,1300,Automatic
115,BMW,i7,2024,18000,Electric,400,Automatic
68.5,Land Rover,Defender,2024,12000,Petrol,2000,Automatic
17.85,BMW,520d,2012,140000,Diesel,2000,Automatic
7.6,Toyota,Vitz,2016,62000,Petrol,1000,Automatic
3.875,Perodua,Viva Elite,2010,80700,Petrol,1000,Manual
10.85,Toyota,Axio,2019,92300,Hybrid,1500,Automatic
7.7,Suzuki,Wagon R FX,2025,1600,Petrol,660,Automatic
31.8,Honda,CRV,2025,0,Petrol,1500,Automatic
16.3,Toyota,Yaris Ativ,2025,10,Petrol,1,Automatic
8.875,Honda,Vezel,2014,146000,Hybrid,1400,Automatic
9.075,Honda,Vezel,2015,135100,Hybrid,1500,Automatic
17,Toyota,Premio,2019,96200,Petrol,1499,Automatic
9.5,Toyota,Axio,2014,132000,Hybrid,1499,Automatic
6.45,Daihatsu,Mira,2025,1300,Petrol,660,Automatic
15,MG,5 Long Range,2023,26000,Electric,61,Automatic
9.8,Nissan,Magnite,2025,30,Petrol,1000,Automatic
14,Subaru,Forester,2014,101900,Petrol,2000,Automatic
11.5,Audi,Q2,2017,90000,Petrol,1000,Automatic
3.99,Suzuki,Liana,2006,155000,Petrol,1300,Manual
7.25,Toyota,Axio,2009,155000,Petrol,1500,Automatic
7.3,Suzuki,Wagon R FX,2024,5185,Petrol,660,Automatic
9.95,Toyota,Yaris,2023,7754,Petrol,1000,Automatic
11.7,Land Rover,Freelander,2013,100000,Diesel,2200,Tiptronic
10.45,Toyota,Yaris,2025,2956,Petrol,1000,Automatic
19,BMW,X5,2015,140000,Diesel,3000,Automatic
3.475,Suzuki,Alto,2005,165000,Petrol,658,Automatic
8.75,Toyota,Yaris,2022,31000,Petrol,990,Automatic
8.075,Nissan,Dayz,2023,18000,Hybrid,660,Automatic
12.5,Mitsubishi,Outlander,2014,170000,Hybrid,2000,Automatic
7.95,Suzuki,Wagon R FX,2024,1900,Hybrid,660,Automatic
7.985,Nissan,Dayz,2023,8000,Hybrid,660,Automatic
35.5,Mercedes Benz,C180,2023,17000,Petrol,1500,Automatic
65,Land Rover,Defender,2023,17000,Petrol,2000,Automatic
3.775,Suzuki,Alto,2015,111340,Petrol,800,Manual
11.6,Toyota,Prius,2015,110000,Hybrid,1800,Automatic
8.975,Honda,Vezel,2014,112000,Hybrid,1500,Automatic
6.95,Mitsubishi,eK Wagon,2024,12000,Petrol,650,Automatic
54.5,Toyota,Land Cruiser Prado,2023,16526,Petrol,2700,Automatic
15.85,Toyota,Corolla,2023,3166,Petrol,1500,Automatic
24,Toyota,Hilux,2023,9000,Diesel,2800,Automatic
11.55,Toyota,Raize,2022,24672,Petrol,1000,Automatic
37.45,Toyota,Harrier,2024,3000,Petrol,2000,Automatic
8.6,Suzuki,Wagon R ZX,2025,107,Hybrid,660,Automatic
21.5,BMW,318i,2018,23000,Petrol,1500,Automatic
9.1,Honda,Vezel,2014,145411,Petrol,1490,Automatic
19.5,Honda,CRV,2020,75000,Petrol,1500,Automatic
12.5,Kia,Other Model,2025,9750,Petrol,1000,Automatic
3.95,Nissan,Sunny,2002,313000,Petrol,1490,Automatic
20.75,Mercedes Benz,C160,2018,76000,Petrol,1600,Automatic
17.85,Honda,Vezel,2025,512,Hybrid,1500,Automatic
3.675,Suzuki,Alto,2015,87000,Petrol,800,Manual
10.5,Toyota,Prius,2015,167000,Hybrid,1800,Automatic
3.99,Toyota,Sprinter,1999,179000,Petrol,1300,Automatic
24.7,Toyota,Land Cruiser Prado,2012,200000,Diesel,2800,Manual
23.9,Mercedes Benz,CLA 200,2019,40000,Petrol,1322,Automatic
123,BMW,740i,2024,0,Petrol,3000,Tiptronic
20,Toyota,Rush,2025,0,Petrol,1500,Automatic
5.3,Toyota,Vitz,2007,121000,Petrol,1000,Automatic
24,MG,HS Hybrid+,2025,0,Petrol,1490,Automatic
5.8,Mitsubishi,L200,1992,253758,Diesel,2470,Manual
13.5,Toyota,Allion,2016,108000,Petrol,1500,Automatic
65,Jeep,Grand Cherokee,2025,0,Petrol,3604,Automatic
7.4,Suzuki,Wagon R FX,2024,8000,Petrol,660,Automatic
2.1,Kia,Spectra,2001,90000,Petrol,1600,Manual
17.575,Honda,Vezel,2026,0,Hybrid,1490,Automatic
9.4,Toyota,Yaris,2023,22000,Petrol,1000,Automatic
4.76,Toyota,Passo,2007,162000,Petrol,990,Automatic
6.8,Mitsubishi,eK Wagon,2025,5000,Petrol,660,Automatic
7.9,Subaru,XV,2014,149000,Petrol,2000,Automatic
12.5,Ford,Focus,2018,93000,Petrol,1000,Tiptronic
76,Toyota,Land Cruiser Prado,2025,0,Diesel,2800,Automatic
4.55,Suzuki,Alto,2016,105000,Petrol,998,Automatic
27.5,Mercedes Benz,Other Model,2024,2000,Hybrid,1300,Automatic
15.975,Toyota,Yaris Ativ,2025,0,Petrol,1200,Tiptronic
14.65,Audi,A3,2018,34027,Petrol,1000,Tiptronic
58.95,Toyota,Land Cruiser Prado,2024,4000,Petrol,2700,Automatic
9.35,Toyota,Axio,2014,180000,Hybrid,1499,Automatic
13.9,Toyota,CHR,2018,61105,Petrol,1500,Automatic
12.25,Honda,CRV,2013,169000,Petrol,1990,Automatic
31.7,Honda,CRV,2025,0,Petrol,1500,Tiptronic
85,Land Rover,Range Rover,2019,78000,Petrol,2000,Automatic
6.075,Nissan,Cefiro,2007,153000,Petrol,2400,Automatic
44.5,BMW,740Le,2016,33500,Petrol,2000,Automatic
18.9,Honda,Vezel,2026,0,Hybrid,1500,Automatic
8.8,Toyota,Premio,2008,165000,Petrol,1500,Automatic
8.8,Honda,Vezel,2013,130000,Hybrid,1499,Automatic
20.2,Honda,Vezel,2025,0,Hybrid,1500,Automatic
3.69,Suzuki,Estilo,2011,141000,Petrol,998,Manual
20,Toyota,Land Cruiser Sahara,2005,291000,Diesel,4500,Manual
6.99,Toyota,Vitz,2016,105400,Petrol,1000,Automatic
23.5,BMW,X5,2016,120000,Petrol,2000,Automatic
11.99,Toyota,Raize,2025,0,Petrol,1000,Automatic
17.8,BMW,318i,2016,64000,Petrol,1500,Automatic
3.94,Suzuki,Alto,2008,139500,Petrol,650,Automatic
8.15,Daihatsu,Taft,2024,0,Petrol,660,Automatic
36.5,Audi,Q7,2016,71000,Petrol,3000,Automatic
7.5,Toyota,Prius,2011,211000,Petrol,1500,Automatic
24.95,BMW,218i,2023,18500,Petrol,1500,Automatic
7.15,Toyota,Vitz,2015,141000,Petrol,990,Automatic
7.175,Mitsubishi,eK Wagon,2023,9300,Petrol,660,Automatic
4.975,Toyota,Corolla,2004,220000,Petrol,1300,Manual
13,Peugeot,3008,2018,109500,Petrol,1200,Tiptronic
31.9,Mercedes Benz,C180,2023,14800,Petrol,1500,Automatic
11,Toyota,Yaris Ativ,2019,210000,Petrol,1200,Automatic
2.65,Toyota,Other Model,1984,200000,Diesel,2400,Manual
11.8,Ford,Kuga,2015,134000,Petrol,1500,Automatic
6.85,Toyota,Vitz,2013,98200,Petrol,990,Automatic
14.2,Toyota,Raize,2023,7800,Petrol,1200,Automatic
9.2,Toyota,Roomy,2023,12000,Petrol,1000,Automatic
8,Toyota,Aqua,2015,125000,Hybrid,1500,Automatic
23.5,Ford,Raptor Ranger,2017,130000,Diesel,3200,Automatic
11.19,Suzuki,Fronx,2026,0,Hybrid,1000,Automatic
16.5,Toyota,Premio,2016,43324,Petrol,1500,Automatic
47,Toyota,Harrier,2025,0,Hybrid,2500,Automatic
51.9,Toyota,Land Cruiser Prado,2023,15000,Petrol,2700,Automatic
12.09,Toyota,Taisor,2025,0,Petrol,1000,Automatic
18.9,Audi,A3,2023,7100,Petrol,1000,Automatic
51.9,Toyota,Land Cruiser Prado,2023,14700,Petrol,2700,Automatic
12.25,Kia,Other Model,2025,0,Petrol,1000,Automatic
16.9,Mazda,3,2023,18000,Petrol,1500,Automatic
11.69,Toyota,Taisor,2025,0,Petrol,1000,Automatic
5.395,Mitsubishi,Mirage,2012,94521,Petrol,1200,Automatic
13,Toyota,Raize,2024,15200,Hybrid,1200,Automatic
12.5,Hyundai,Venue,2025,0,Petrol,1000,Automatic
19.09,Honda,Vezel,2025,100,Hybrid,1500,Automatic
29.6,Ford,Raptor Ranger,2024,0,Diesel,3000,Tiptronic
5.395,Nissan,Navara,2007,158508,Diesel,2500,Manual
13.5,Peugeot,508,2015,108000,Diesel,2000,Automatic
8.99,Nissan,Teana,2010,180000,Petrol,2500,Automatic
2.975,Suzuki,Maruti,2005,84255,Petrol,1061,Manual
18,Toyota,Yaris,2025,0,Hybrid,1499,Automatic
16.2,Toyota,Yaris Cross,2025,34,Hybrid,1500,Automatic
2.95,Toyota,Corolla,1997,330000,Diesel,2000,Automatic
63.5,Toyota,Alphard,2025,0,Petrol,2500,Automatic
11.2,BMW,320d,2011,186496,Diesel,2000,Automatic
7.63,Toyota,Vitz,2018,101000,Petrol,990,Automatic
20.4,Honda,Vezel,2025,0,Hybrid,1500,Automatic
8.95,Honda,Grace,2015,196500,Hybrid,1500,Automatic
21,Toyota,Harrier,2014,103000,Petrol,2000,Automatic
21,Honda,Vezel,2025,0,Hybrid,1500,Automatic
154.5,Land Rover,Range Rover PHEV,2025,0,Hybrid,3000,Automatic
2.5,Kia,Clarus,2000,120000,Diesel,1970,Automatic
4.15,Hyundai,Eon,2016,73000,Petrol,800,Manual
8.9,Ford,Focus,2015,103000,Petrol,1600,Automatic
3.65,Zotye,Z100,2021,18000,Petrol,1000,Manual
26.8,Toyota,Hilux,2025,0,Diesel,2800,Automatic
11.8,Kia,Other Model,2025,0,Petrol,1000,Automatic
8.1,Toyota,Axio,2013,104463,Hybrid,1490,Automatic
7.25,Suzuki,Wagon R FX,2024,8500,Petrol,660,Automatic
19.85,Honda,Vezel,2025,0,Hybrid,1500,Automatic
25.5,Mercedes Benz,C200,2019,84000,Petrol,1500,Automatic
12,Toyota,Taisor,2025,0,Petrol,1000,Automatic
7.35,Suzuki,Wagon R FX,2024,5500,Petrol,660,Automatic
16.5,Jaguar,XJ,2003,105000,Petrol,3000,Automatic
18.75,Honda,Vezel,2024,15000,Hybrid,1496,Automatic
26,BMW,X2,2019,45000,Petrol,1500,Tiptronic
17.5,Honda,Vezel,2023,10000,Hybrid,1500,Automatic
9.05,Suzuki,Wagon R,2025,0,Hybrid,660,Automatic
6.3,Suzuki,Spacia,2016,72000,Hybrid,650,Automatic
2.475,Toyota,Corsa,1993,251285,Diesel,1500,Manual
17.5,Porsche,Cayenne,2013,93000,Hybrid,3000,Tiptronic
21,Toyota,Land Cruiser Sahara,2000,147250,Petrol,4660,Automatic
8.5,Toyota,Vitz,2018,47000,Petrol,990,Automatic
20.3,Honda,Vezel,2025,0,Hybrid,1500,Automatic
29.5,Land Rover,Range Rover Velar,2018,127000,Diesel,1990,Automatic
11.7,Kia,Other Model,2026,0,Petrol,1000,Automatic
36,Toyota,Harrier,2024,12000,Petrol,2000,Automatic
10.75,Mitsubishi,Montero,2003,212000,Petrol,3400,Tiptronic
23,Audi,A3,2023,10000,Petrol,1000,Automatic
11.8,Suzuki,Swift,2024,19000,Hybrid,1200,Automatic
64,Toyota,Fortuner,2024,0,Petrol,2755,Automatic
14.45,Toyota,Raize,2026,0,Hybrid,1200,Automatic
6.475,Suzuki,Alto,2023,9000,Petrol,650,Automatic
28,Jeep,Compass,2025,0,Petrol,1995,Automatic
8.95,Hyundai,Santa Fe,2011,226250,Diesel,2200,Automatic
16.5,Toyota,Voxy,2014,382000,Petrol,1800,Automatic
13.5,Kia,Seltos,2025,0,Petrol,2000,Automatic
23,Suzuki,Jimny,2025,0,Petrol,1462,Automatic
7.8,Toyota,Vitz,2018,79000,Petrol,990,Automatic
10.55,BMW,X1,2011,149500,Diesel,2000,Automatic
15.7,Toyota,Yaris Cross,2025,10,Petrol,1500,Automatic
11.5,Kia,Other Model,2025,100,Petrol,1000,Automatic
5.995,Daihatsu,Mira,2024,10800,Petrol,650,Automatic
7.99,Toyota,Passo,2023,9000,Petrol,1000,Automatic
